"VAR","YEA","Value"
"COMDIHPB",1993,1.5
"COMDIHPB",1994,1.7
"COMDIHPB",1995,1.6
"COMDIHPB",1996,1.3
"COMDIHPB",1997,1.5
"COMDIHPB",1998,1.4
"COMDIHPB",1999,1.6
"COMDIHPB",2000,2.1
"COMDIHPB",2001,2.1
"COMDIHPB",2002,2.1
"COMDIHPB",2003,1.8
"COMDIHPB",2004,1.4
"COMDIHPB",2005,1.2
"COMDIHPB",2006,1.4
"COMDIHPB",2007,1.4
"COMDIHPB",2008,1.3
"COMDIHPB",2009,1.1
"COMDIHPB",2010,1
"COMDIHPB",2011,0.9
"COMDIHPB",2012,0.9
"COMDIHPB",2013,0.8
"COMDIHPB",2014,0.8
"COMDIHPB",2015,0.6
"COMDIHPB",2016,0.7
"COMDIHPB",2017,0.6
"COMDIHPB",2018,0.6
"COMDIHPB",2019,0.6
"COMDIHPB",2020,0.5
"COMDIHPB",2021,0.3
"COMDIHPB",2022,0.3
